SQ397,Boston,HongKong,Day time,10/15/2019,10/13/2019,0
SQ492,Beijing,Boston,Evening,10/24/2019,10/23/2019,1
SQ392,Tokyo,NewYork,Morning,04/02/2019,04/01/2019,2
SQ472,Chicago,Boston,Day time,04/07/2019,04/06/2019,3
SQ642,Huston,SanFrancisco,Evening,01/06/2019,01/03/2019,4
SQ397,Boston,HongKong,Day time,10/15/2019,10/13/2019,5
SQ422,Beijing,Boston,Evening,10/24/2019,10/22/2019,2
SQ302,Tokyo,NewYork,Morning,04/02/2019,04/01/2019,2
SQ462,Chicago,Boston,Day time,04/07/2019,04/05/2019,3
SQ692,Huston,SanFrancisco,Evening,01/06/2019,01/03/2019,4
