Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,9,10,9,Some Random Commen with Id 0
1,0,9,114,3,Some Random Commen with Id 1
2,0,9,79,9,Some Random Commen with Id 2
3,0,9,159,2,Some Random Commen with Id 3
4,0,9,121,6,Some Random Commen with Id 4
5,0,9,6,6,Some Random Commen with Id 5
6,0,9,180,9,Some Random Commen with Id 6
7,0,9,183,8,Some Random Commen with Id 7
8,0,9,18,4,Some Random Commen with Id 8
9,1,2,181,2,Some Random Commen with Id 9
10,1,2,166,3,Some Random Commen with Id 10
11,2,0,94,4,Some Random Commen with Id 11
12,2,0,124,8,Some Random Commen with Id 12
13,2,0,29,7,Some Random Commen with Id 13
14,2,0,138,2,Some Random Commen with Id 14
15,2,0,9,2,Some Random Commen with Id 15
16,2,0,150,6,Some Random Commen with Id 16
17,2,0,84,3,Some Random Commen with Id 17
18,2,0,107,4,Some Random Commen with Id 18
19,2,0,82,2,Some Random Commen with Id 19
20,3,2,151,1,Some Random Commen with Id 20
21,3,2,121,2,Some Random Commen with Id 21
22,4,4,177,4,Some Random Commen with Id 22
23,4,4,122,1,Some Random Commen with Id 23
24,5,0,76,1,Some Random Commen with Id 24
25,5,0,157,8,Some Random Commen with Id 25
26,5,0,150,7,Some Random Commen with Id 26
27,5,0,174,6,Some Random Commen with Id 27
28,6,7,139,0,Some Random Commen with Id 28
29,6,7,115,2,Some Random Commen with Id 29
30,6,7,70,2,Some Random Commen with Id 30
31,6,7,79,7,Some Random Commen with Id 31
32,7,9,158,2,Some Random Commen with Id 32
33,7,9,174,5,Some Random Commen with Id 33
34,7,9,158,7,Some Random Commen with Id 34
35,7,9,68,8,Some Random Commen with Id 35
36,8,8,132,7,Some Random Commen with Id 36
37,8,8,108,2,Some Random Commen with Id 37
38,8,8,123,4,Some Random Commen with Id 38
39,8,8,0,2,Some Random Commen with Id 39
40,8,8,88,5,Some Random Commen with Id 40
41,8,8,61,2,Some Random Commen with Id 41
42,8,8,186,9,Some Random Commen with Id 42
43,8,8,137,8,Some Random Commen with Id 43
